artists,x0,x1,play_count
Al Kooper Steve Stills,9.381744,10.415926,3
Al Martino,4.873296,8.757617,13
Al Stewart,8.958578,10.05296,18
Alabama,8.404412,9.464879,102
Alabama Shakes,6.7480516,12.814627,13
Alacranes Musical,11.479116,7.593113,14
Alain Goraguer,2.0360582,11.977501,5
Alain Planes Claude Debussy,-2.1453063,11.978556,3
Alan Gilbert Ezio Pinza Henry Mitchell Jim Hawthorne Richard Rodgers Salvatore Dell'Isola,4.439565,8.542419,4
Alan Jackson,9.3223715,9.338154,106
Alan Jackson Jimmy Buffett,11.896227,8.924977,5
Alan Lomax,5.400649,9.345389,5
Alan Menken,-0.966408,11.042499,47
Alan Mills,6.1739798,6.1859736,19
Alan Moorhouse,5.175648,13.044189,3
Alan Parsons Ambrosia,11.006957,13.135533,3
Alan Silvestri,-1.4725175,10.436574,9
Alan Tam,5.268556,9.167183,9
Alan Walker,9.119702,11.53302,8
Alan Wilder Depeche Mode Steve Lyon,6.4186735,12.640393,7
Alanis Morissette,9.2272625,12.143773,39
Alanis Morissette Christopher Fogel,7.9154577,10.676495,5
Alaska Y Dinarama,11.539961,11.06392,5
Alban Berg Dimitri Mitropoulos,2.93148,8.600841,3
Alban Berg Dimitri Mitropoulos New York Philharmonic,3.290666,8.563211,7
Albeli,1.6072044,12.942349,4
Albert Collins,5.9603314,12.51045,7
Albert Hammond,9.659027,8.057116,7
Albert King,8.578531,8.305403,35
Albert Préjean,5.5773125,7.2782125,3
Alberto Arenas Francisco Canaro,2.7313576,12.543176,30
Alberto Arenas Francisco Canaro Guillermo Coral,3.031086,13.12628,4
Alberto Beltran,8.199807,6.699471,10
Alberto Beltran La Sonora Matancera,7.0907807,6.69921,3
Alberto Cortez,7.969866,10.230154,7
Alberto Erede Aldo Protti Giuseppe Verdi Mario del Monaco Orchestra dell'Accademia Nazionale di Santa Cecilia,3.3773017,7.697102,3
Alberto Erede Giacomo Puccini Giovanni Inghilleri Orchestra dell'Accademia Nazionale di Santa Cecilia Renata Tebaldi,3.0496972,8.613624,3
Alberto Erede Giacomo Puccini Nell Rankin Orchestra dell'Accademia Nazionale di Santa Cecilia Renata Tebaldi,2.7646322,8.60791,5
Alberto Erede Giacomo Puccini Orchestra dell'Accademia Nazionale di Santa Cecilia Renata Tebaldi,2.8999975,8.467502,3
Alberto Erede Giuseppe Verdi Orchestra dell'Accademia Nazionale di Santa Cecilia Renata Tebaldi,2.7204194,8.512174,3
Alberto Gomez,4.2067943,8.043204,12
Alberto Pedraza,13.233382,10.228438,6
Alberto Rabagliati,1.0790533,11.719112,12
Alberto Rabagliati Lecuona Cuban Boys,1.9463185,12.572615,4
Alberto Vazquez,6.3054338,9.267959,4
Alborosie,13.494393,9.856343,3
Alcoholics Anonymous,5.31522,3.1608784,43
Aldenhoff Bugarinovic Böhme Hotter Keilberth Kuen Neidlinger Richard Wagner Streich Varnay,3.454307,6.8296466,13
Aldo Nova,10.592764,12.671733,8
"Alec ""Guitar Slim"" Seward",5.6274495,7.5283895,6
Alec Benjamin,7.8026586,8.246937,15
Alec Redshaw Norma Procter Traditional,4.543421,8.035413,4
Alegre All Stars,8.680889,6.556805,3
Alejandra Guzman,9.21208,10.484685,18
Alejandro Fernández,7.149494,8.886651,37
Alejandro Fernández Christina Aguilera,7.544629,11.071015,3
Alejandro Fernández Morat,11.715498,9.264602,3
Alejandro Sanz,7.9434743,10.880502,19
Alekos Dimou,5.9044194,8.659161,14
Alekos Kitsakis,6.5900292,7.00284,4
Aleks Syntek,10.118665,10.547833,6
Alessandra De Negri,4.4214635,8.034002,13
Alessia Cara,9.167792,11.23425,14
Alestorm,10.447523,12.1114645,4
Alex & Sierra,5.9010262,9.650355,3
Alex Bueno,11.8341875,8.065094,5
Alex Bugnon,5.3150115,12.988126,5
Alex Campos,3.9919853,5.903404,7
Alex Lacamoire Idina Menzel Kristin Chenoweth Stephen Oremus Stephen Schwartz,5.695141,8.930312,4
Alex Orbison Chuck Turner Roy Orbison,1.1376126,11.086712,4
Alex Turner,4.8848314,8.330055,5
Alex Turner Miles Kane The Last Shadow Puppets,9.611046,12.507093,6
Alex Ubago,7.5514007,10.477875,4
Alexander 'Skip' Spence,5.872189,8.429511,9
Alexander 23,6.433556,9.145559,3
Alexander Borodin Cleveland Orchestra George Szell,0.70114577,11.6218605,7
Alexander Glazunov Jascha Heifetz London Philharmonic Orchestra Sir John Barbirolli,-1.3174628,10.847712,4
Alexander Glazunov Jascha Heifetz RCA Victor Symphony Orchestra Walter Hendl,-1.8072174,11.286084,5
Alexander Hilsberg Isaac Stern Philadelphia Orchestra Pyotr Ilyich Tchaikovsky,-1.3825227,10.862532,3
Alexander O'Neal,10.351412,8.925382,9
Alexander O'Neal Cherrelle,10.17076,8.962131,4
Alexander Schneider Columbia Symphony Orchestra Rudolf Serkin Wolfgang Amadeus Mozart,-0.3943403,11.765357,6
Alexander Schneider Eugene Istomin Ludwig van Beethoven Pablo Casals,-0.17333426,11.471332,4
Alexander Schneider Isaac Stern Johannes Brahms Madeline Foley Milton Katims Milton Thomas Pablo Casals,-1.0966716,10.462879,3
Alexander Schneider Rudolf Serkin Wolfgang Amadeus Mozart,-1.1159106,11.17089,3
Alexander Schreiner Frank Asper Mormon Tabernacle Choir Richard P. Condie Traditional,3.8382204,8.233635,3
Alexander Scriabin Pierre Monteux,-0.22607213,10.235892,5
Alexander Scriabin Pierre Monteux Roger Voisin,-0.03357361,10.134642,4
Alexander Scriabin Vladimir Horowitz,-1.7008313,11.905567,113
Alexander Zakin Ernest Bloch Isaac Stern,-0.67947894,10.757023,4
Alexandre Desplat,-1.4417948,11.207374,7
Alexandre Tharaud Frédéric Chopin,-1.7756511,11.783581,3
Alexi Murdoch,2.451971,11.655336,7
